N,wall,user,system,mem,wall,user,system,mem
1,0.000,0.000,0.000,1256.000,0.000,0.000,0.000,9144.000
2,0.000,0.000,0.000,1250.400,0.000,0.000,0.000,8068.800
3,0.000,0.000,0.000,1283.200,0.000,0.000,0.000,5379.200
4,0.000,0.000,0.000,1315.200,0.000,0.000,0.000,3.200
5,0.000,0.000,0.000,1217.600,0.000,0.000,0.000,8068.800
6,0.000,0.000,0.000,1281.600,0.000,0.000,0.000,5252.800
7,0.000,0.000,0.000,1288.800,0.000,0.000,0.000,5995.200
8,0.000,0.000,0.000,1217.600,0.000,0.000,0.000,8068.800
9,0.000,0.000,0.000,1249.600,0.000,0.000,0.000,7940.800
10,0.010,0.010,0.000,1321.600,0.000,0.000,0.000,156.800
11,0.098,0.096,0.000,1261.600,0.000,0.000,0.000,10140.800
12,0.562,0.558,0.000,1321.600,0.000,0.000,0.000,156.800
13,3.184,3.178,0.000,1249.600,0.002,0.002,0.000,7940.800
14,18.034,18.018,0.010,1314.400,0.091,0.087,0.000,4.800
15,102.066,101.920,0.128,1249.600,0.180,0.226,0.003,7940.800
