N,wall,user,system,mem,wall,user,system,mem
1,0.000,0.000,0.000,1327.200,0.000,0.000,0.000,43.200
2,0.000,0.000,0.000,1349.600,0.000,0.000,0.000,1332.800
3,0.000,0.000,0.000,1349.600,0.000,0.000,0.000,1252.800
4,0.000,0.000,0.000,1369.600,0.000,0.000,0.000,372.800
5,0.000,0.000,0.000,1353.600,0.000,0.000,0.000,812.800
6,0.000,0.000,0.000,1364.000,0.000,0.000,0.000,704.000
7,0.000,0.000,0.000,1364.800,0.000,0.000,0.000,411.200
8,0.000,0.000,0.000,1368.800,0.000,0.000,0.000,3067.200
9,0.010,0.004,0.000,1356.000,0.000,0.000,0.000,584.000
10,0.050,0.050,0.000,1382.400,0.000,0.000,0.000,556.800
11,0.306,0.304,0.000,1348.000,0.000,0.000,0.000,256.000
12,1.718,1.716,0.000,1351.200,0.000,0.000,0.000,507.200
13,9.660,9.646,0.000,1365.600,0.002,0.002,0.000,212.800
14,54.314,54.232,0.000,1361.600,0.064,0.067,0.000,964.800
15,306.040,305.578,0.008,1360.800,0.930,0.964,0.000,1323.200
