dirs,files,min,max,wall,user,system,mem,wall,user,system,mem
1,1,10000,10000,0.000,0.000,0.000,3273.333,0.000,0.000,0.000,1669.333
1,1,100000,100000,0.000,0.000,0.000,3281.333,0.000,0.000,0.000,2181.333
1,1,1000000,1000000,0.020,0.010,0.000,3281.333,0.000,0.000,0.000,1797.333
1,1,10000000,10000000,0.150,0.140,0.007,11024.000,0.000,0.000,0.000,9904.000
1,1,100000000,100000000,1.510,1.447,0.053,98897.333,0.000,0.000,0.000,11797.333
1,1000,1,1,0.040,0.000,0.040,3268.000,0.000,0.000,0.000,1792.000
1,10000,1,1,0.930,0.033,0.383,3262.667,0.765,0.000,0.000,5141.333
1,100000,1,1,11.127,0.387,3.880,3276.000,0.778,0.000,0.000,2704.000
1000,1,1,1,0.060,0.000,0.050,3256.000,0.000,0.000,0.000,1776.000
10000,1,1,1,1.087,0.047,0.543,3264.000,0.450,0.000,0.000,112.000
100000,1,1,1,20.497,0.533,5.650,3277.333,0.305,0.001,0.001,2949.333
