dirs,files,min,max,wall,user,system,mem,wall (var),user (var),system (var),mem (var)
1,1,10000,10000,0.000,0.000,0.000,1508.0,0.000,0.000,0.000,0.0
1,1,100000,100000,0.000,0.000,0.000,1700.0,0.000,0.000,0.000,0.0
1,1,1000000,1000000,0.000,0.000,0.000,2320.0,0.000,0.000,0.000,22736.0
1,1,10000000,10000000,0.060,0.046,0.004,11188.8,0.000,0.000,0.000,22387.2
1,1,100000000,100000000,0.662,0.520,0.072,99060.0,0.016,0.000,0.000,6296.0
1,1000,1,1,0.020,0.000,0.020,1404.0,0.000,0.000,0.000,24888.0
1,10000,1,1,0.252,0.010,0.238,1436.8,0.000,0.000,0.000,9603.2
1,100000,1,1,2.612,0.162,2.412,1398.4,0.017,0.000,0.019,10140.8
1,1000000,1,1,27.412,1.704,23.852,1397.6,3.689,0.047,0.748,10308.8
1000,1,1,1,0.024,0.000,0.024,1480.8,0.000,0.000,0.000,5995.2
10000,1,1,1,0.296,0.012,0.276,1397.6,0.003,0.000,0.003,26052.8
100000,1,1,1,2.962,0.202,2.750,1365.6,0.275,0.000,0.280,6532.8
1000000,1,1,1,32.022,2.062,28.372,1436.8,51.508,0.022,35.108,9603.2
