N,wall,user,system,mem.dat,wall,user,system,mem
1,0.017,0.003,0.007,3440.000,0.000,0.000,0.000,81264.000
2,0.013,0.000,0.000,3261.333,0.000,0.000,0.000,2501.333
3,0.017,0.000,0.007,3236.000,0.000,0.000,0.000,3504.000
4,0.013,0.000,0.003,3277.333,0.000,0.000,0.000,2725.333
5,0.013,0.000,0.010,3272.000,0.000,0.000,0.000,3184.000
6,0.017,0.000,0.003,3309.333,0.000,0.000,0.000,837.333
7,0.017,0.000,0.007,3280.000,0.000,0.000,0.000,768.000
8,0.017,0.000,0.007,3310.667,0.000,0.000,0.000,405.333
9,0.020,0.010,0.003,3220.000,0.000,0.000,0.000,9408.000
10,0.090,0.067,0.003,3294.667,0.000,0.000,0.000,2949.333
11,0.420,0.343,0.010,3248.000,0.000,0.000,0.000,4656.000
12,1.963,1.870,0.010,3249.333,0.002,0.001,0.000,741.333
13,11.699,11.151,0.010,3282.857,0.016,0.017,0.000,1934.476
14,64.340,61.456,0.029,3272.267,0.119,0.082,0.000,2106.210
